name,price,url,city,params,year,mileage,engine_volume,horse_power,date
"Mercedes-Benz E-Class, 2019",3300000,https://auto.drom.ru/moscow/mercedes-benz/e-class/54029260.html,Москва,"1.5 л (184 л.с.) | , | гибрид | , | АКПП | , | задний | , | 29 000 км | 1.5 л (184 л.с.), | гибрид, | АКПП, | задний, | 29 000 км",,29000.0,1.5,5.0,сегодня
"BMW M3, 2024",15500000,https://auto.drom.ru/moscow/bmw/m3/642757451.html,Москва,"3.0 л (510 л.с.) | , | бензин | , | АКПП | , | 4WD | , | 2 890 км | 3.0 л (510 л.с.), | бензин, | АКПП, | 4WD, | 2 890 км",,2890.0,3.0,0.0,сегодня
"Nissan Pathfinder, 2025",5330000,https://auto.drom.ru/moscow/nissan/pathfinder/166434528.html,Москва,"2.0 л (252 л.с.) | , | бензин | , | АКПП | , | 4WD | 2.0 л (252 л.с.), | бензин, | АКПП, | 4WD",,,2.0,0.0,сегодня
"Toyota Land Cruiser, 1993",1730000,https://auto.drom.ru/moscow/toyota/land_cruiser/741361517.html,Москва,"4.2 л (167 л.с.) | , | дизель | , | механика | , | 4WD | , | 289 900 км | 4.2 л (167 л.с.), | дизель, | механика, | 4WD, | 289 900 км",,289900.0,4.2,2.0,сегодня
"Lexus NX200, 2015",3000000,https://auto.drom.ru/moscow/lexus/nx200/295865958.html,Москва,"2.0 л (150 л.с.) | , | бензин | , | вариатор | , | 4WD | , | 108 252 км | 2.0 л (150 л.с.), | бензин, | вариатор, | 4WD, | 108 252 км",,108252.0,2.0,0.0,сегодня
"Subaru Levorg, 2019",1990000,https://auto.drom.ru/moscow/subaru/levorg/125939187.html,Москва,"1.6 л (170 л.с.) | , | бензин | , | вариатор | , | 4WD | , | 85 000 км | 1.6 л (170 л.с.), | бензин, | вариатор, | 4WD, | 85 000 км",,85000.0,1.6,6.0,сегодня
"Mercedes-Benz Vito, 2013",2799999,https://auto.drom.ru/moscow/mercedes-benz/vito/660354221.html,Москва,"2.1 л (136 л.с.) | , | дизель | , | АКПП | , | 4WD | , | 82 218 км | 2.1 л (136 л.с.), | дизель, | АКПП, | 4WD, | 82 218 км",,82218.0,2.1,1.0,сегодня
"Mercedes-Benz V-Class, 2017",4599999,https://auto.drom.ru/moscow/mercedes-benz/v-class/459548996.html,Москва,"2.1 л (163 л.с.) | , | дизель | , | АКПП | , | 4WD | , | 129 300 км | 2.1 л (163 л.с.), | дизель, | АКПП, | 4WD, | 129 300 км",,129300.0,2.1,1.0,сегодня
"Suzuki Jimny, 2021",2300000,https://auto.drom.ru/moscow/suzuki/jimny/138872001.html,Москва,"0.7 л (64 л.с.) | , | бензин | , | АКПП | , | 4WD | , | 15 000 км | 0.7 л (64 л.с.), | бензин, | АКПП, | 4WD, | 15 000 км",,15000.0,0.7,7.0,сегодня
"Nissan Teana, 2015",1275000,https://auto.drom.ru/moscow/nissan/teana/895413867.html,Москва,"2.5 л (173 л.с.) | , | бензин | , | вариатор | , | передний | , | 234 000 км | 2.5 л (173 л.с.), | бензин, | вариатор, | передний, | 234 000 км",,234000.0,2.5,5.0,сегодня
